team,player,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31
Phoenix Suns,Dillon Brooks,22124110,20992727.0,,,,
Phoenix Suns,Bradley Beal,19383010,19383010.0,19383010.0,19383010.0,19383010.0,
Phoenix Suns,Grayson Allen,16875000,18125000.0,19375000.0,,,
Phoenix Suns,Royce O'Neale,10125000,10875000.0,11625000.0,,,
Phoenix Suns,Mark Williams,6276531,8774591.0,,,,
Phoenix Suns,Khaman Maluach,6016080,6316680.0,6617160.0,8436880.0,12334719.0,
Phoenix Suns,Nassir Little,3107143,3107143.0,3107143.0,3107143.0,3107143.0,
Phoenix Suns,Amir Coffey,2874436,,,,,
Phoenix Suns,Cole Anthony,2667947,,,,,
Phoenix Suns,Ryan Dunn,2657760,2784240.0,5025553.0,7990629.0,,
Phoenix Suns,Collin Gillespie,2378870,,,,,
Phoenix Suns,Jordan Goodwin,2349578,,,,,
Phoenix Suns,Oso Ighodaro,1955377,2296271.0,,,,
Phoenix Suns,Rasheer Fleming,1272870,2150917.0,2525901.0,2735698.0,,
Phoenix Suns,Jamaree Bouyea,878375,2584539.0,,,,
Phoenix Suns,Haywood Highsmith,827984,3018158.0,,,,
Phoenix Suns,EJ Liddell,706898,706898.0,,,,
Phoenix Suns,Isaiah Livers,636435,,,,,
Phoenix Suns,Koby Brea,636435,,,,,
Phoenix Suns,CJ Huntley,225200,,,,,
Portland Trail Blazers,Jrue Holiday,32400000,34800000.0,37200000.0,,,
Portland Trail Blazers,Jerami Grant,32000001,34206898.0,36413790.0,,,
Portland Trail Blazers,Deandre Ayton,25550814,,,,,
Portland Trail Blazers,Deni Avdija,14375000,13125000.0,11875000.0,,,
Portland Trail Blazers,Damian Lillard,14104000,13398800.0,14104000.0,,,
Portland Trail Blazers,Robert Williams,13285713,,,,,
Portland Trail Blazers,Matisse Thybulle,11550000,,,,,
Portland Trail Blazers,Scoot Henderson,10747994,13585465.0,19182676.0,,,
Portland Trail Blazers,Shaedon Sharpe,8399983,20089287.0,21696429.0,23303571.0,24910713.0,
Portland Trail Blazers,Donovan Clingan,7178400,7519920.0,9550298.0,13761979.0,,
Portland Trail Blazers,Hansen Yang,4422360,4643520.0,4864920.0,7462788.0,11231496.0,
Portland Trail Blazers,Kris Murray,3132000,5315004.0,8265502.0,,,
Portland Trail Blazers,Blake Wesley,2378870,,,,,
Portland Trail Blazers,Vit Krejci,2349578,2667944.0,3005085.0,,,
Portland Trail Blazers,Toumani Camara,2221677,18080358.0,19526786.0,20973214.0,22419642.0,
Portland Trail Blazers,Rayan Rupert,2221677,,,,,
Portland Trail Blazers,Sidy Cissoko,1081951,2497812.0,,,,
Portland Trail Blazers,Javonte Cooke,636435,,,,,
Portland Trail Blazers,Caleb Love,636435,,,,,
Portland Trail Blazers,Didi Louzada,268032,268032.0,268032.0,,,
Portland Trail Blazers,Chris Youngblood,131903,679042.0,,,,
Portland Trail Blazers,Jayson Kent,131903,679042.0,,,,
Sacramento Kings,Zach LaVine,47499660,48967380.0,,,,
Sacramento Kings,Domantas Sabonis,42336000,45472000.0,48608000.0,,,
Sacramento Kings,DeMar DeRozan,24570000,25740000.0,,,,
Sacramento Kings,De'Andre Hunter,23303571,24910714.0,,,,
Sacramento Kings,Malik Monk,18797619,20190035.0,21582451.0,,,
Sacramento Kings,Keegan Murray,11144093,24137936.0,26068965.0,27999999.0,29931033.0,31862067.0
Sacramento Kings,Devin Carter,4923720,5158080.0,7370896.0,10931038.0,,
Sacramento Kings,Russell Westbrook,3634153,,,,,
Sacramento Kings,Doug McDermott,3634153,,,,,
Sacramento Kings,Nique Clifford,3108120,3263400.0,3418800.0,5979481.0,9339950.0,
Sacramento Kings,Drew Eubanks,3080921,,,,,
Sacramento Kings,Precious Achiuwa,2453285,,,,,
Sacramento Kings,Maxime Raynaud,1272870,2150917.0,2525901.0,,,
Sacramento Kings,Dylan Cardwell,1218461,2150917.0,2525901.0,2735698.0,,
Sacramento Kings,Daeqwon Plowden,636435,,,,,
Sacramento Kings,Isaiah Stevens,636435,679042.0,,,,
Sacramento Kings,Killian Hayes,306660,,,,,
Sacramento Kings,Patrick Baldwin,160857,,,,,
San Antonio Spurs,De'Aaron Fox,37096620,51033600.0,55116288.0,59198976.0,63281664.0,
San Antonio Spurs,Devin Vassell,27000000,27000000.0,24652174.0,27000000.0,,
San Antonio Spurs,Harrison Barnes,19000000,,,,,
San Antonio Spurs,Keldon Johnson,17500000,17500000.0,,,,
San Antonio Spurs,Kelly Olynyk,13445122,,,,,
San Antonio Spurs,Victor Wembanyama,13376695,16868013.0,23615218.0,,,
San Antonio Spurs,Dylan Harper,12370200,12989040.0,13607760.0,17172994.0,24128057.0,
San Antonio Spurs,Luke Kornet,11000000,10450000.0,9900000.0,9350000.0,,
San Antonio Spurs,Stephon Castle,9560520,10015920.0,12670139.0,17978927.0,,
San Antonio Spurs,Jeremy Sochan,7096231,,,,,
San Antonio Spurs,Carter Bryant,4900320,5145360.0,5390640.0,7983539.0,11903457.0,
San Antonio Spurs,Bismack Biyombo,3634153,,,,,
San Antonio Spurs,Julian Champagnie,3000000,3000000.0,,,,
San Antonio Spurs,Jordan McLaughlin,2874436,,,,,
San Antonio Spurs,Lindy Waters III,2461463,,,,,
San Antonio Spurs,Mason Plumlee,1148726,,,,,
San Antonio Spurs,Harrison Ingram,636435,,,,,
San Antonio Spurs,David Jones,636435,,,,,
San Antonio Spurs,Stanley Umude,363537,,,,,
San Antonio Spurs,Riley Minix,170508,,,,,
San Antonio Spurs,Emanuel Miller,157640,679042.0,,,,
San Antonio Spurs,Kyle Mangas,26322,,,,,
Toronto Raptors,Scottie Barnes,38661700,41754636.0,44847572.0,47940508.0,51033444.0,
Toronto Raptors,Brandon Ingram,38095238,40000000.0,41904762.0,,,
Toronto Raptors,Immanuel Quickley,32500000,32500000.0,32500000.0,32500000.0,,
Toronto Raptors,RJ Barrett,27705357,29616071.0,,,,
Toronto Raptors,Jakob Poeltl,19500000,19500000.0,27300000.0,29484000.0,27300000.0,
Toronto Raptors,Collin Murray-Boyles,6332520,6649560.0,6966000.0,8874684.0,12912666.0,
Toronto Raptors,Gradey Dick,4990379,7131251.0,10575645.0,,,
Toronto Raptors,Ja'Kobe Walter,3638160,3811800.0,5870172.0,8957882.0,,
Toronto Raptors,Chris Paul,3634153,,,,,
Toronto Raptors,Garrett Temple,3634153,,,,,
Toronto Raptors,Sandro Mamukelashvili,2461463,2801346.0,,,,
Toronto Raptors,Trayce Jackson-Davis,2221677,2406205.0,,,,
Toronto Raptors,Jamison Battle,1955377,2296271.0,,,,
Toronto Raptors,Jonathan Mogbo,1955377,2296271.0,,,,
Toronto Raptors,Jamal Shead,1955377,2296271.0,,,,
Toronto Raptors,Alijah Martin,636435,,,,,
Toronto Raptors,Chucky Hepburn,636435,,,,,
Toronto Raptors,Mo Bamba,194771,,,,,
Utah Jazz,Lauri Markkanen,46394100,46113154.0,49824681.0,53536209.0,,
Utah Jazz,Jaren Jackson Jr,35000000,49000000.0,50500000.0,52000000.0,53500000.0,
Utah Jazz,Jusuf Nurkic,19375000,,,,,
Utah Jazz,Jordan Clarkson,10651561,,,,,
Utah Jazz,Lonzo Ball,10000000,,,,,
Utah Jazz,Ace Bailey,9069840,9522960.0,9976560.0,12640302.0,18025071.0,
Utah Jazz,John Konchar,6165000,6165000.0,,,,
Utah Jazz,Cody Williams,5742480,6015600.0,7669890.0,11213379.0,,
Utah Jazz,Walker Kessler,4878938,7064703.0,,,,
Utah Jazz,Keyonte George,4278754,6563608.0,9878230.0,,,
Utah Jazz,Kevin Love,4150000,,,,,
Utah Jazz,Sviatoslav Mykhailiuk,3675000,3850000.0,4025000.0,,,
Utah Jazz,Chris Boucher,3287409,,,,,
Utah Jazz,Kyle Filipowski,3000000,3000000.0,3000000.0,,,
Utah Jazz,Brice Sensabaugh,2693460,4861695.0,7730095.0,,,
Utah Jazz,Isaiah Collier,2638200,2763960.0,4988948.0,7982316.0,,
Utah Jazz,Vince Williams Jr,2301587,,,,,
Utah Jazz,Oscar Tshiebwe,636434,,,,,
Utah Jazz,Elijah Harkless,636434,,,,,
Utah Jazz,Mo Bamba,354128,,,,,
Utah Jazz,Blake Hinson,202680,679042.0,,,,
Utah Jazz,Steven Crowl,85300,,,,,
Utah Jazz,Andersson Garcia,73153,,,,,
Washington Wizards,Anthony Davis,54126450,58456566.0,62786682.0,,,
Washington Wizards,Trae Young,46394100,48967380.0,,,,
Washington Wizards,Marcus Smart,14786855,,,,,
Washington Wizards,Alex Sarr,11808240,12370680.0,15611798.0,21934576.0,,
Washington Wizards,Tre Johnson,8237640,8649600.0,9061680.0,11490211.0,16476963.0,
Washington Wizards,Bilal Coulibaly,7275682,9240116.0,13315007.0,,,
Washington Wizards,Jaden Hardy,6000000,6000000.0,6000000.0,,,
Washington Wizards,D'Angelo Russell,5685000,5969250.0,,,,
Washington Wizards,Carlton Carrington,4677600,4900560.0,7257729.0,10821273.0,,
Washington Wizards,Cameron Whitmore,3539976,5458643.0,8368099.0,,,
Washington Wizards,Will Riley,3512520,3688320.0,3864000.0,6155352.0,9485398.0,
Washington Wizards,Blake Wesley,3347458,,,,,
Washington Wizards,Dante Exum,3303774,,,,,
Washington Wizards,Tristan Vukcevic,3256068,3000000.0,3000000.0,,,
Washington Wizards,Kyshawn George,2966760,3108000.0,5435892.0,8490863.0,,
Washington Wizards,Dillon Jones,2753280,,,,,
Washington Wizards,Anthony Gill,2667947,,,,,
Washington Wizards,Justin Champagnie,2349578,2667944.0,3005085.0,,,
Washington Wizards,Jamir Watkins,1546981,2150917.0,,,,
Washington Wizards,Sharife Cooper,636435,,,,,
Washington Wizards,Richaun Holmes,250000,,,,,
Washington Wizards,Leaky Black,164074,679042.0,,,,
Washington Wizards,Skal Labissiere,153330,,,,,
Washington Wizards,Julian Reese,141554,679042.0,,,,
Washington Wizards,Alondes Williams,136717,,,,,
Washington Wizards,Jaylen Martin,85300,,,,,
Washington Wizards,Kadary Richmond,73153,,,,,
Washington Wizards,Keshon Gilbert,73153,,,,,
